         849118 function calls (847173 primitive calls) in 215.035 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4761    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
      371    0.001    0.000    0.034    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:918(__getitem__)
      448    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:233(__init__)
       26    0.001    0.000    0.001    0.000 {pandas._libs.algos.take_2d_axis1_int64_int64}
       56    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      371    0.001    0.000    0.019    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1535(_getitem_axis)
     1139    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:100(is_bool_indexer)
      371    0.001    0.000    0.030    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1504(_getitem_tuple)
       68    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
     4324    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:542(__exit__)
       53    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:268(__init__)
     3328    0.001    0.000    0.001    0.000 /usr/lib/python3.8/threading.py:1395(main_thread)
      751    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4587(__getitem__)
     2103    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_list_like}
      480    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/base.py:737(__iter__)
      426    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1853(maybe_coerce_values)
      371    0.001    0.000    0.015    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3366(_ixs)
     4324    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:539(__enter__)
       53    0.001    0.000    0.046    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:1266(itertuples)
        1    0.001    0.001    0.494    0.494 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:49(get_data_from_parser)
      494    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:627(name)
      212    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:105(__init__)
      380    0.001    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3860(_box_col_values)
     1171    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:556(_get_axis)
        3    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1022(iset)
       53    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:814(pop_fields)
      742    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1482(_validate_integer)
        1    0.001    0.001    0.001    0.001 {method 'unique' of 'pandas._libs.hashtable.Int64HashTable' objects}
      371    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1467(_is_scalar_access)
       15    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      742    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1391(_validate_key)
     5159    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      424    0.001    0.000    0.035    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:1339(<genexpr>)
  498/495    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5473(__getattr__)
      371    0.001    0.000    0.005    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:747(_has_valid_tuple)
        1    0.001    0.001    0.001    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:49(__init__)
        7    0.001    0.000    0.001    0.000 {built-in method posix.mkdir}
      448    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/flags.py:47(__init__)
       26    0.001    0.000    0.001    0.000 {built-in method _operator.eq}
      538    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:577(name)
       77    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:289(normalize_storage_path)
       76    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5435(__finalize__)
     5428    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/range.py:449(__iter__)
       60    0.000    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3418(__getitem__)
     1113    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:921(<genexpr>)
    37/13    0.000    0.000    0.001    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
      418    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1539(__init__)
      499    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:431(ensure_wrapped_if_datetimelike)
        1    0.000    0.000    0.496    0.496 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:554(_get_converter_fun)
       30    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:224(_rebuild_blknos_and_blklocs)
      418    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:528(_set_axis)
     1201    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:674(_values)
      371    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:761(_is_nested_tuple_indexer)
       26    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexers.py:249(maybe_convert_indices)
      742    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:2459(is_label_like)
       53    0.000    0.000   32.164    0.607 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:1133(__setitem__)
      520    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:369(extract_array)
     1055    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:794(__len__)
   164/98    0.000    0.000    0.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      819    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:155(cast_scalar_indexer)
     1192    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/inference.py:184(is_array_like)
      494    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1718(validate_all_hashable)
       48    0.000    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:463(sanitize_array)
      380    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:349(iget)
     1201    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1674(internal_values)
       26    0.000    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:5492(_cmp_method)
       17    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:137(__init__)
        8    0.000    0.000    0.000    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1969(construct_1d_object_array_from_listlike)
  514/354    0.000    0.000    0.001    0.000 /usr/lib/python3.8/json/encoder.py:333(_iterencode_dict)
      988    0.000    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1737(<genexpr>)
