         1378372 function calls (1376121 primitive calls) in 20.932 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      359    0.001    0.000    0.037    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:918(__getitem__)
       73    0.001    0.000    0.026    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/construction.py:463(sanitize_array)
     1122    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/common.py:100(is_bool_indexer)
      357    0.001    0.000    0.019    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1535(_getitem_axis)
        1    0.001    0.001    4.905    4.905 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:49(get_data_from_parser)
        1    0.001    0.001    0.001    0.001 {method 'unique' of 'pandas._libs.hashtable.Int64HashTable' objects}
     2208    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_list_like}
     4160    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:299(<genexpr>)
        1    0.001    0.001    0.004    0.004 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:49(__init__)
      357    0.001    0.000    0.029    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1504(_getitem_tuple)
      438    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/blocks.py:1853(maybe_coerce_values)
     1821    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/core.py:276(chunk_store)
      724    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexes/base.py:4587(__getitem__)
    72/10    0.001    0.000    0.002    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
     5860    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      463    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/base.py:737(__iter__)
       63    0.001    0.000    0.006    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/ops/array_ops.py:138(_na_arithmetic_op)
      816    0.001    0.000    0.002    0.000 /usr/lib/python3.8/multiprocessing/synchronize.py:94(__enter__)
     2380    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:99(ceildiv)
  586/583    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5473(__getattr__)
      357    0.001    0.000    0.015    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3366(_ixs)
       55    0.001    0.000    0.001    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
      127    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:5435(__finalize__)
       51    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexers.py:249(maybe_convert_indices)
      847    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      816    0.001    0.000    0.001    0.000 {method '__enter__' of '_multiprocessing.SemLock' objects}
      556    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:627(name)
       55    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:224(_rebuild_blknos_and_blklocs)
        5    0.001    0.000    0.001    0.000 {built-in method posix.mkdir}
        3    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1022(iset)
       52    0.001    0.000    0.003    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:268(__init__)
     2725    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     4112    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:301(<genexpr>)
       53    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
     1179    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:556(_get_axis)
     4160    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:300(<genexpr>)
      367    0.001    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3860(_box_col_values)
      111    0.001    0.000    0.021    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3418(__getitem__)
      357    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1467(_is_scalar_access)
       51    0.001    0.000    0.043    0.001 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:1266(itertuples)
      714    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1391(_validate_key)
