         910295 function calls (908100 primitive calls) in 3.142 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      353    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
      455    0.001    0.000    0.022    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3366(_ixs)
        1    0.001    0.001    0.001    0.001 {pandas._libs.lib.to_object_array_tuples}
      555    0.001    0.000    0.007    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/util.py:629(retry_call)
        8    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/dtypes/cast.py:1969(construct_1d_object_array_from_listlike)
     1605    0.001    0.000    0.004    0.000 {built-in method builtins.all}
     1118    0.001    0.000    0.005    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
     1435    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/generic.py:556(_get_axis)
      464    0.001    0.000    0.010    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/frame.py:3860(_box_col_values)
        1    0.001    0.001    0.014    0.014 /home/maximw/tfe_env/lib/python3.8/site-packages/pyimzml/metadata.py:49(__init__)
        1    0.001    0.001    1.768    1.768 /home/maximw/Github/tfe-ff-benchmark/src/convert/imzml_to_zarr/one_phase.py:49(get_data_from_parser)
       15    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      455    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/indexing.py:1467(_is_scalar_access)
      848    0.001    0.000    0.005    0.000 /usr/lib/python3.8/genericpath.py:27(isfile)
      555    0.001    0.000    0.006    0.000 /usr/lib/python3.8/genericpath.py:39(isdir)
      596    0.001    0.000    0.002    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/series.py:627(name)
        1    0.001    0.001    0.001    0.001 {method 'unique' of 'pandas._libs.hashtable.Int64HashTable' objects}
      924    0.001    0.000    0.004    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/zarr/indexing.py:36(is_scalar)
        3    0.001    0.000    0.001    0.000 /home/maximw/tfe_env/lib/python3.8/site-packages/pandas/core/internals/managers.py:1022(iset)
